domain,kingdom,subkingdom,superphylum,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,variety,form,morph,strain,Animal Name
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,,Testudines,Cryptodira,,,Chelonioidea,Cheloniidae,Cheloniinae,,,Chelonia,,,,,,,,Chelonia mydas
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,,Crocodilia,,,,Crocodyloidea,Crocodylidae,Crocodylinae,,,Crocodylus,,,,,,,,Crocodylus niloticus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,Lepidosauria,Squamata,Serpentes,Alethinophidia,,Pythonoidea,Pythonidae,,,,Python,,,,,,,,Python bivittatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,Lepidosauria,Squamata,Serpentes,Alethinophidia,,Elapoidea,Elapidae,,,,Naja,,,,,,,,Naja naja
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Amphibia,Lissamphibia,,Batrachia,Anura,,,,Dendrobatoidea,Dendrobatidae,Dendrobatinae,,,Dendrobates,,,,,,,,Dendrobates auratus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Actinopterygii,Neopterygii,Teleosteomorpha,Protacanthopterygii,Salmoniformes,Salmonoidei,,,,Salmonidae,Salmoninae,,,Salmo,,,,,,,,Salmo salar
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Actinopterygii,Neopterygii,Teleosteomorpha,Protacanthopterygii,Salmoniformes,Salmonoidei,,,,Salmonidae,Salmoninae,,,Oncorhynchus,,,,,,,,Oncorhynchus mykiss
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Actinopterygii,Neopterygii,Teleosteomorpha,Paracanthopterygii,Gadiformes,Gadoidei,,,,Gadidae,,,,Gadus,,,,,,,,Gadus morhua
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,Lepidosauria,Rhynchocephalia,Sphenodontia,Eusphenodontia,,,Sphenodontidae,Sphenodontinae,,,Sphenodon,,,,,,,,Sphenodon punctatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Reptilia,,,,Crocodilia,,,,Alligatoroidea,Alligatoridae,Caimaninae,,,Caiman,,,,,,,,Caiman crocodilus
